player_name,team_id,home_team_id,team_name,matchday,match_name,match_date,home_team_score,away_team_score,start_frame,end_frame,start_x,start_y,end_x,end_y,outcome,long_ball,is_a_cross,free_kick,corner_kick,throw_in,aerial,switch_of_play,assist,second_assist
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,34525,34525,65.3,88.7,81.1,94.1,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,4100,4100,72.9,11.1,66.5,5.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,22275,22275,42.2,12.8,37.5,12.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,96925,96925,68.9,68.4,74.6,87.8,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,7425,7425,31.1,14.0,45.5,6.1,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,99000,99000,45.1,56.1,58.5,92.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,64525,64525,59.4,32.5,61.7,37.9,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,39025,39025,64.2,72.1,74.0,70.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,64925,64925,69.2,14.6,76.7,15.2,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,75650,75650,29.7,69.6,20.0,60.2,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,22700,22700,38.5,23.7,43.5,44.6,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,20225,20225,58.4,29.8,62.4,35.2,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,55775,55775,21.8,58.5,8.1,54.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,33000,33000,42.9,36.4,48.0,10.6,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,10775,10775,56.0,63.9,57.2,54.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,56225,56225,25.1,60.9,25.4,97.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,99100,99100,53.5,76.4,61.5,76.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,67575,67575,39.5,55.5,30.1,71.7,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,99300,99300,55.1,77.6,68.8,69.0,1,0,0,0,0,0,1,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,83275,83275,65.6,41.2,78.5,9.4,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,22425,22425,44.5,4.7,39.2,9.8,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,24675,24675,39.9,67.0,42.5,85.7,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,64725,64725,63.4,16.4,72.7,8.6,1,0,0,0,0,0,1,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,30775,30775,61.1,58.5,54.6,56.6,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,30175,30175,59.0,84.5,68.2,95.9,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,17425,17425,76.8,6.5,94.1,62.0,0,1,1,0,0,0,1,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,31275,31275,53.6,93.8,37.0,57.8,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,33400,33400,41.4,14.6,48.2,3.4,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,15000,15000,42.9,60.0,54.4,38.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,97050,97050,73.2,76.0,90.7,77.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,86075,86075,70.6,31.5,58.4,57.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,38775,38775,40.4,60.9,61.9,74.2,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,10300,10300,39.1,53.9,44.8,67.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,90350,90350,24.2,33.4,28.6,68.4,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,74550,74550,71.6,5.9,86.6,37.4,0,0,1,1,0,0,1,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,88425,88425,23.7,42.1,11.4,51.2,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,32750,32750,49.3,22.5,38.8,14.1,1,0,0,1,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,35600,35600,49.5,61.1,68.8,89.4,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,34925,34925,75.9,85.9,84.2,82.3,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,82425,82425,61.0,86.6,69.1,85.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,31125,31125,70.4,86.6,76.4,93.9,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,37100,37100,40.7,21.3,50.3,6.5,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,33200,33200,39.1,13.4,44.4,23.0,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,74700,74700,65.0,46.0,41.7,59.1,1,0,0,0,0,0,0,0,0,0
Kirian Rodriguez,537,445,UD Las Palmas,Matchday 16,ALA - LPA,2023-12-09T00:00:00,0,1,10600,10600,44.4,64.0,48.4,76.4,1,0,0,0,0,0,0,0,0,0
